country,day,currentInfected,currentImmune,numOfPeopleInside
area12,0,1,0,125
area13,0,1,0,125
area14,0,1,0,125
area15,0,1,0,125
area12,1,4,0,162
area13,1,1,0,109
area14,1,2,0,119
area15,1,1,0,157
area12,2,2,0,160
area13,2,1,0,107
area14,2,0,0,117
area15,2,2,0,151
area12,3,2,0,154
area13,3,1,0,108
area14,3,3,0,100
area15,3,3,0,157
area12,4,2,0,150
area13,4,4,0,124
area14,4,4,0,142
area15,4,6,0,157
area12,5,2,0,131
area13,5,5,0,129
area14,5,4,0,114
area15,5,5,0,171
area12,6,6,0,144
area13,6,5,0,129
area14,6,2,0,129
area15,6,2,0,163
area12,7,5,0,150
area13,7,5,0,131
area14,7,1,0,117
area15,7,6,0,180
area12,8,2,0,140
area13,8,6,0,118
area14,8,6,0,149
area15,8,6,0,140
area12,9,13,0,160
area13,9,1,0,118
area14,9,11,0,112
area15,9,3,0,147
area12,10,5,2,148
area13,10,3,2,118
area14,10,4,0,118
area15,10,7,2,147
area12,11,3,0,140
area13,11,10,2,103
area14,11,11,2,130
area15,11,12,4,168
area12,12,9,5,150
area13,12,8,0,102
area14,12,10,1,110
area15,12,14,1,172
area12,13,6,2,155
area13,13,13,1,126
area14,13,16,2,128
area15,13,12,3,145
area12,14,17,2,152
area13,14,14,1,106
area14,14,16,0,135
area15,14,30,2,175
area12,15,22,2,161
area13,15,16,1,105
area14,15,13,3,105
area15,15,18,7,171
area12,16,33,5,175
area13,16,19,2,121
area14,16,26,7,126
area15,16,35,3,163
area12,17,29,2,152
area13,17,24,3,118
area14,17,29,7,118
area15,17,44,9,159
area12,18,36,14,174
area13,18,24,2,128
area14,18,28,5,119
area15,18,38,6,152
area12,19,51,9,153
area13,19,28,3,115
area14,19,40,6,133
area15,19,46,7,159
area12,20,48,8,148
area13,20,43,7,116
area14,20,51,8,117
area15,20,44,12,166
area12,21,72,5,170
area13,21,51,6,111
area14,21,52,12,129
area15,21,65,8,158
area12,22,82,8,162
area13,22,47,16,111
area14,22,66,13,128
area15,22,47,10,135
area12,23,86,12,154
area13,23,62,11,115
area14,23,55,16,106
area15,23,78,18,175
area12,24,101,21,169
area13,24,60,14,111
area14,24,68,7,110
area15,24,70,24,157
area12,25,82,27,156
area13,25,73,20,127
area14,25,70,22,128
area15,25,95,21,152
area12,26,96,36,167
area13,26,70,32,124
area14,26,70,32,129
area15,26,85,23,140
area12,27,88,35,143
area13,27,73,38,131
area14,27,74,33,131
area15,27,91,33,145
area12,28,82,40,142
area13,28,67,36,124
area14,28,81,28,126
area15,28,85,39,143
area12,29,75,48,135
area13,29,66,47,121
area14,29,72,47,139
area15,29,83,55,150
area12,30,71,57,148
area13,30,70,53,131
area14,30,72,45,132
area15,30,92,70,173
area12,31,82,77,175
area13,31,47,63,117
area14,31,60,57,124
area15,31,66,77,158
area12,32,50,79,139
area13,32,35,56,98
area14,32,53,80,141
area15,32,59,74,148
area12,33,66,86,161
area13,33,49,77,130
area14,33,42,82,131
area15,33,51,90,151
area12,34,42,120,172
area13,34,34,98,138
area14,34,33,84,125
area15,34,29,91,126
area12,35,33,123,176
area13,35,36,90,132
area14,35,26,93,124
area15,35,38,114,157
area12,36,26,123,155
area13,36,21,91,115
area14,36,14,92,111
area15,36,26,122,156
area12,37,22,126,158
area13,37,13,93,110
area14,37,17,106,129
area15,37,18,128,157
area12,38,12,135,152
area13,38,13,94,112
area14,38,7,105,115
area15,38,12,134,149
area12,39,11,136,159
area13,39,8,117,129
area14,39,9,109,126
area15,39,6,126,143
area12,40,6,166,180
area13,40,7,100,113
area14,40,5,95,107
area15,40,5,136,146
area12,41,4,137,151
area13,41,3,115,120
area14,41,4,111,119
area15,41,5,144,157
area12,42,6,153,162
area13,42,4,99,108
area14,42,3,117,121
area15,42,1,155,170
area12,43,4,140,149
area13,43,4,115,126
area14,43,2,111,120
area15,43,2,147,155
area12,44,1,150,157
area13,44,1,109,120
area14,44,0,98,102
area15,44,2,145,154
area12,45,1,166,174
area13,45,0,116,122
area14,45,0,117,121
area15,45,2,139,145
area12,46,0,156,158
area13,46,1,133,139
area14,46,1,126,132
area15,46,1,141,152
area12,47,0,149,153
area13,47,1,110,117
area14,47,0,127,136
area15,47,0,162,169
area12,48,2,142,148
area13,48,0,124,126
area14,48,1,129,135
area15,48,0,124,129
area12,49,0,151,158
area13,49,1,120,129
area14,49,0,115,121
area15,49,0,160,164
area12,50,0,148,153
area13,50,0,100,103
area14,50,0,128,131
area15,50,0,138,144
area12,51,0,128,138
area13,51,0,129,136
area14,51,0,119,123
area15,51,0,165,175
area12,52,0,142,153
area13,52,0,114,121
area14,52,0,124,131
area15,52,0,153,158
area12,53,1,149,155
area13,53,0,129,138
area14,53,0,117,121
area15,53,0,148,154
area12,54,0,129,134
area13,54,0,117,121
area14,54,0,108,111
area15,54,0,159,166
area12,55,0,147,150
area13,55,0,101,104
area14,55,0,113,121
area15,55,0,151,163
area12,56,0,151,159
area13,56,0,130,135
area14,56,0,107,111
area15,56,0,150,159
area12,57,0,134,145
area13,57,0,104,110
area14,57,0,105,109
area15,57,0,148,156
area12,58,0,163,164
area13,58,0,117,124
area14,58,0,121,129
area15,58,0,140,147
area12,59,0,160,164
area13,59,0,118,123
area14,59,0,95,99
area15,59,0,151,161
area12,60,0,153,157
