country,date,casesWeekly,casesDaily,movingAverage7Days
Chad,2020-03-23,2,0,0.0
Chad,2020-03-24,2,0,0.0
Chad,2020-03-25,2,0,0.0
Chad,2020-03-26,2,0,0.0
Chad,2020-03-27,2,0,0.0
Chad,2020-03-28,2,0,0.0
Chad,2020-03-29,2,0,0.0
Chad,2020-03-30,3,0,0.0
Chad,2020-03-31,3,0,0.0
Chad,2020-04-01,3,0,0.0
Chad,2020-04-02,3,0,0.0
Chad,2020-04-03,3,0,0.0
Chad,2020-04-04,3,0,0.0
Chad,2020-04-05,3,0,0.0
Chad,2020-04-06,4,0,0.0
Chad,2020-04-07,4,0,0.0
Chad,2020-04-08,4,0,0.0
Chad,2020-04-09,4,0,0.0
Chad,2020-04-10,4,0,0.0
Chad,2020-04-11,4,0,0.0
Chad,2020-04-12,4,0,0.0
Chad,2020-04-13,6,0,0.0
Chad,2020-04-14,6,0,0.0
Chad,2020-04-15,6,0,0.0
Chad,2020-04-16,6,0,0.0
Chad,2020-04-17,6,0,0.0
Chad,2020-04-18,6,0,0.0
Chad,2020-04-19,6,0,0.0
Chad,2020-04-20,18,2,0.2857142857142857
Chad,2020-04-21,18,2,0.5714285714285714
Chad,2020-04-22,18,2,0.8571428571428571
Chad,2020-04-23,18,2,1.1428571428571428
Chad,2020-04-24,18,2,1.4285714285714286
Chad,2020-04-25,18,2,1.7142857142857142
Chad,2020-04-26,18,2,2.0
Chad,2020-04-27,13,1,1.8571428571428572
Chad,2020-04-28,13,1,1.7142857142857142
Chad,2020-04-29,13,1,1.5714285714285714
Chad,2020-04-30,13,1,1.4285714285714286
Chad,2020-05-01,13,1,1.2857142857142858
Chad,2020-05-02,13,1,1.1428571428571428
Chad,2020-05-03,13,1,1.0
Chad,2020-05-04,71,10,2.2857142857142856
Chad,2020-05-05,71,10,3.5714285714285716
Chad,2020-05-06,71,10,4.857142857142857
Chad,2020-05-07,71,10,6.142857142857143
Chad,2020-05-08,71,10,7.428571428571429
Chad,2020-05-09,71,10,8.714285714285714
Chad,2020-05-10,71,10,10.0
Chad,2020-05-11,205,29,12.714285714285714
Chad,2020-05-12,205,29,15.428571428571429
Chad,2020-05-13,205,29,18.142857142857142
Chad,2020-05-14,205,29,20.857142857142858
