country,date,casesWeekly,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
Russia,2020-01-06,0,0,0.0,0.0,1
Cases_on_an_international_conveyance_Japan,2020-01-06,0,0,0.0,0.0,1
Sweden,2020-01-06,0,0,0.0,0.0,1
Philippines,2020-01-06,0,0,0.0,0.0,1
Malaysia,2020-01-06,0,0,0.0,0.0,1
Singapore,2020-01-06,0,0,0.0,0.0,1
Iraq,2020-01-06,0,0,0.0,0.0,1
Germany,2020-01-06,0,0,0.0,0.0,1
Afghanistan,2020-01-06,0,0,0.0,0.0,1
Cambodia,2020-01-06,0,0,0.0,0.0,1
San_Marino,2020-01-06,0,0,0.0,0.0,1
France,2020-01-06,0,0,0.0,0.0,1
Greece,2020-01-06,0,0,0.0,0.0,1
Taiwan,2020-01-06,0,0,0.0,0.0,1
Algeria,2020-01-06,0,0,0.0,0.0,1
Belgium,2020-01-06,0,0,0.0,0.0,1
Ecuador,2020-01-06,0,0,0.0,0.0,1
Qatar,2020-01-06,0,0,0.0,0.0,1
Finland,2020-01-06,0,0,0.0,0.0,1
China,2020-01-06,59,8,8.0,0.0,1
India,2020-01-06,0,0,0.0,0.0,1
Belarus,2020-01-06,0,0,0.0,0.0,1
Kuwait,2020-01-06,0,0,0.0,0.0,1
New_Zealand,2020-01-06,0,0,0.0,0.0,1
Croatia,2020-01-06,0,0,0.0,0.0,1
Nigeria,2020-01-06,0,0,0.0,0.0,1
Italy,2020-01-06,0,0,0.0,0.0,1
Sri_Lanka,2020-01-06,0,0,0.0,0.0,1
Lithuania,2020-01-06,0,0,0.0,0.0,1
Norway,2020-01-06,0,0,0.0,0.0,1
Spain,2020-01-06,0,0,0.0,0.0,1
Czechia,2020-01-06,0,0,0.0,0.0,1
South_Korea,2020-01-06,0,0,0.0,0.0,1
Denmark,2020-01-06,0,0,0.0,0.0,1
Iran,2020-01-06,0,0,0.0,0.0,1
Ireland,2020-01-06,0,0,0.0,0.0,1
Thailand,2020-01-06,0,0,0.0,0.0,1
Monaco,2020-01-06,0,0,0.0,0.0,1
United_States_of_America,2020-01-06,0,0,0.0,0.0,1
Iceland,2020-01-06,0,0,0.0,0.0,1
Israel,2020-01-06,0,0,0.0,0.0,1
Oman,2020-01-06,0,0,0.0,0.0,1
Mexico,2020-01-06,0,0,0.0,0.0,1
Estonia,2020-01-06,0,0,0.0,0.0,1
Georgia,2020-01-06,0,0,0.0,0.0,1
