country,date,currentInfected,casesDaily,movingAverage7Days,percentageIncreaseOfMA7Days,rank
area7,2019-12-31,1,1,1.0,0.0,1
area9,2019-12-31,1,1,1.0,0.0,1
area2,2019-12-31,2,2,2.0,0.0,1
area4,2019-12-31,1,1,1.0,0.0,1
area3,2019-12-31,2,2,2.0,0.0,1
area0,2019-12-31,2,2,2.0,0.0,1
area15,2019-12-31,1,1,1.0,0.0,1
area11,2019-12-31,1,1,1.0,0.0,1
area6,2019-12-31,1,1,1.0,0.0,1
area1,2019-12-31,2,2,2.0,0.0,1
area8,2019-12-31,1,1,1.0,0.0,1
area14,2019-12-31,1,1,1.0,0.0,1
area10,2019-12-31,1,1,1.0,0.0,1
area12,2019-12-31,1,1,1.0,0.0,1
area5,2019-12-31,1,1,1.0,0.0,1
area13,2019-12-31,1,1,1.0,0.0,1
area12,2020-01-01,4,3,2.0,100.0,1
area8,2020-01-01,3,2,1.5,50.0,2
area7,2020-01-01,2,1,1.0,0.0,3
area14,2020-01-01,2,1,1.0,0.0,3
area2,2020-01-01,3,1,1.5,-25.0,5
area9,2020-01-01,1,0,0.5,-50.0,6
area0,2020-01-01,2,0,1.0,-50.0,6
area15,2020-01-01,1,0,0.5,-50.0,6
area1,2020-01-01,2,0,1.0,-50.0,6
area5,2020-01-01,1,0,0.5,-50.0,6
area13,2020-01-01,1,0,0.5,-50.0,6
area0,2020-01-02,4,2,1.3333333333333333,33.33333333333333,1
area15,2020-01-02,2,1,0.6666666666666666,33.33333333333333,1
area4,2020-01-02,0,0,0.0,0.0,3
area11,2020-01-02,4,4,1.3333333333333333,0.0,3
area6,2020-01-02,3,3,1.0,0.0,3
area10,2020-01-02,3,3,1.0,0.0,3
area9,2020-01-02,1,0,0.3333333333333333,-33.333333333333336,7
area1,2020-01-02,2,0,0.6666666666666666,-33.333333333333336,7
area13,2020-01-02,1,0,0.3333333333333333,-33.333333333333336,7
area8,2020-01-02,2,-1,0.6666666666666666,-55.55555555555556,10
area7,2020-01-03,4,3,1.0,200.0,1
area15,2020-01-03,3,1,0.75,12.5,2
area2,2020-01-03,0,0,0.0,0.0,3
area4,2020-01-03,1,1,0.25,0.0,3
area3,2020-01-03,3,3,0.75,0.0,3
area14,2020-01-03,3,3,0.75,0.0,3
area5,2020-01-03,2,2,0.5,0.0,3
area9,2020-01-03,1,0,0.25,-25.0,8
area0,2020-01-03,4,0,1.0,-25.0,8
area10,2020-01-03,3,0,0.75,-25.0,8
area12,2020-01-03,2,0,0.5,-25.0,8
area13,2020-01-03,1,0,0.25,-25.0,8
area8,2020-01-04,4,3,0.8,220.00000000000003,1
area13,2020-01-04,4,3,0.8,220.00000000000003,1
area15,2020-01-04,6,3,1.2,59.999999999999986,3
area14,2020-01-04,4,1,0.8,6.666666666666665,4
area2,2020-01-04,1,1,0.2,0.0,5
area11,2020-01-04,0,0,0.0,0.0,5
area1,2020-01-04,1,1,0.2,0.0,5
area7,2020-01-04,4,0,0.8,-19.999999999999996,8
area9,2020-01-04,1,0,0.2,-19.999999999999996,8
area4,2020-01-04,1,0,0.2,-19.999999999999996,8
area6,2020-01-04,1,0,0.2,-19.999999999999996,8
area12,2020-01-04,2,0,0.4,-19.999999999999996,8
area9,2020-01-05,5,4,0.8333333333333334,316.6666666666667,1
area0,2020-01-05,5,4,0.8333333333333334,316.6666666666667,1
area2,2020-01-05,2,1,0.3333333333333333,66.66666666666666,3
area6,2020-01-05,2,1,0.3333333333333333,66.66666666666666,3
area13,2020-01-05,5,1,0.8333333333333334,4.166666666666674,5
area11,2020-01-05,2,2,0.3333333333333333,0.0,6
area5,2020-01-05,3,3,0.5,0.0,6
area4,2020-01-05,1,0,0.16666666666666666,-16.666666666666675,8
area1,2020-01-05,1,0,0.16666666666666666,-16.666666666666675,8
area14,2020-01-05,4,0,0.6666666666666666,-16.666666666666675,8
area12,2020-01-05,2,0,0.3333333333333333,-16.666666666666675,8
area4,2020-01-06,4,3,0.5714285714285714,242.85714285714283,1
area3,2020-01-06,7,5,1.0,200.0,2
area1,2020-01-06,3,2,0.42857142857142855,157.14285714285717,3
area12,2020-01-06,6,4,0.8571428571428571,157.14285714285717,3
area11,2020-01-06,5,3,0.7142857142857143,114.28571428571432,5
area5,2020-01-06,4,1,0.5714285714285714,14.28571428571428,6
area10,2020-01-06,1,1,0.14285714285714285,0.0,7
area0,2020-01-06,5,0,0.7142857142857143,-14.28571428571429,8
area8,2020-01-06,2,0,0.2857142857142857,-14.28571428571429,8
area13,2020-01-06,5,0,0.7142857142857143,-14.28571428571429,8
area7,2020-01-07,7,6,0.8571428571428571,500.0,1
area15,2020-01-07,6,4,0.7142857142857143,150.0,2
area6,2020-01-07,3,2,0.2857142857142857,100.0,3
area10,2020-01-07,3,2,0.2857142857142857,100.0,3
area5,2020-01-07,8,4,1.0,75.0,5
area4,2020-01-07,6,2,0.7142857142857143,25.0,6
area9,2020-01-07,3,1,0.2857142857142857,0.0,7
area11,2020-01-07,5,0,0.5714285714285714,-20.000000000000007,8
area13,2020-01-07,5,0,0.5714285714285714,-20.000000000000007,8
area12,2020-01-07,5,-1,0.5714285714285714,-33.333333333333336,10
area0,2020-01-08,9,4,1.0,133.33333333333334,1
area11,2020-01-08,6,1,0.8571428571428571,50.0,2
area10,2020-01-08,3,0,0.42857142857142855,50.0,2
area13,2020-01-08,6,1,0.7142857142857143,25.0,4
area9,2020-01-08,3,0,0.2857142857142857,0.0,5
area2,2020-01-08,6,4,0.42857142857142855,0.0,5
area3,2020-01-08,7,5,0.8571428571428571,0.0,5
area15,2020-01-08,6,0,0.7142857142857143,0.0,5
area1,2020-01-08,3,0,0.14285714285714285,0.0,5
area14,2020-01-08,6,5,0.5714285714285714,0.0,5
area6,2020-01-09,9,8,0.8571428571428571,500.0,1
area1,2020-01-09,6,3,0.5714285714285714,300.0,2
area14,2020-01-09,11,5,1.5714285714285714,175.0,3
area9,2020-01-09,4,1,0.42857142857142855,50.0,4
area2,2020-01-09,4,-2,0.5714285714285714,33.33333333333333,5
area3,2020-01-09,8,1,1.1428571428571428,33.33333333333333,5
area5,2020-01-09,4,0,0.5714285714285714,33.33333333333333,5
area11,2020-01-09,11,5,1.0,16.666666666666675,8
area4,2020-01-09,4,0,0.5714285714285714,0.0,9
