date,yearAndWeek,dayOfTheWeek,casesWeekly,deathsWeekly,casesDaily,country,movingAverage7Days,percentageIncreaseOfMA7Days,rank
2020-01-06,2020-01,1,0,0,0,Russia,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Cases_on_an_international_conveyance_Japan,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Sweden,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Philippines,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Malaysia,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Singapore,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Iraq,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Germany,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Afghanistan,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Cambodia,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,San_Marino,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,France,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Greece,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Taiwan,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Algeria,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Belgium,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Ecuador,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Qatar,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Finland,0.0,0.0,1
2020-01-06,2020-01,1,59,0,8,China,8.0,0.0,1
2020-01-06,2020-01,1,0,0,0,India,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Belarus,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Kuwait,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,New_Zealand,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Croatia,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Nigeria,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Italy,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Sri_Lanka,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Lithuania,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Norway,0.0,0.0,1
2020-01-06,2020-01,1,0,0,0,Spain,0.0,0.0,1
