country,sum(casesWeekly)
Chad,2895
Anguilla,15
Paraguay,122160
Russia,3591066
Yemen,2116
Burkina_Faso,9188
Cases_on_an_international_conveyance_Japan,705
Senegal,23224
Sweden,531145
Timor_Leste,52
Marshall_Islands,4
Guyana,6908
Eritrea,1877
Jersey,3054
Philippines,500577
Djibouti,5905
Malaysia,158434
Sierra_Leone,3006
Singapore,59113
South_Africa,1337926
Central_African_Republic,4974
Fiji,55
Puerto_Rico,150318
Turkey,1572763
Malawi,12470
Iraq,608232
Germany,2040659
Comoros,1592
Trinidad_and_Tobago,7393
Afghanistan,54141
Cambodia,441
San_Marino,2787
Jordan,315544
Maldives,14513
Rwanda,11032
Sudan,23316
France,2910989
South_Sudan,3670
Greece,148607
Kosovo,55851
Montserrat,13
Dominica,113
Taiwan,862
Turks_and_Caicos_islands,1105
Algeria,103833
Togo,4302
Slovakia,224385
Argentina,1807396
Angola,18875
Belgium,680040
Ecuador,231644
Qatar,147504
Lesotho,6371
Holy_See,26
Equatorial_Guinea,5365
Albania,67690
Madagascar,18301
Finland,40337
Ghana,57714
Myanmar,134318
Nicaragua,6152
Guernsey,309
Benin,3413
Peru,1068802
Bahamas,8067
China,97939
India,10571773
Isle_of_Man,428
Belarus,227360
Cote_dIvoire,25241
Kuwait,157777
Malta,15742
New_Zealand,1906
Somalia,4744
United_States_Virgin_Islands,2260
Chile,673750
Tajikistan,13308
Wallis_and_Futuna,4
Brunei_Darussalam,174
Croatia,225128
Burundi,1236
Andorra,9083
Bolivia,187183
Nigeria,110387
Gabon,9899
Italy,2381277
Cayman_Islands,380
Suriname,7624
Sri_Lanka,53062
Lithuania,167992
Norway,58651
Spain,2336451
Cuba,18443
Papua_New_Guinea,834
Mauritania,16039
Bosnia_and_Herzegovina,118083
Czechia,891852
South_Korea,72729
"Bonaire, Saint Eustatius and Saba",365
Denmark,189895
Niger,4156
Bangladesh,527632
Barbados,1095
Iran,1330411
Curaçao,4520
Ireland,172726
Congo,7709
Liechtenstein,2395
Laos,41
Thailand,12423
Bhutan,842
Monaco,1205
Morocco,459671
Panama,298019
United_States_of_America,23938288
Faroe_Islands,649
Ukraine,1163716
Venezuela,120444
Iceland,5970
Israel,551689
Northern_Mariana_Islands,128
Oman,131790
United_Republic_of_Tanzania,509
Cyprus,28968
Gibraltar,3670
Palestine,171215
Democratic_Republic_of_the_Congo,21059
Uruguay,32863
Mexico,1649502
Aruba,6435
Estonia,37344
Georgia,247915
Montenegro,55493
Zimbabwe,27203
Indonesia,907929
Guam,7485
Guatemala,149146
Mongolia,1526
Azerbaijan,227391
Guinea_Bissau,2509
Libya,109869
United_Arab_Emirates,253261
Grenada,139
Armenia,164676
Micronesia_(Federated_States_of),1
Liberia,1887
Saint_Vincent_and_the_Grenadines,494
Tunisia,181885
Honduras,134111
Syria,13036
Cape_Verde,12993
Uganda,38085
Saint_Kitts_and_Nevis,35
Saint_Lucia,611
Namibia,30363
New_Caledonia,44
Switzerland,497472
Zambia,38207
Sao_Tome_and_Principe,1142
Ethiopia,131195
Eswatini,12944
Jamaica,14274
Latvia,55664
Saudi_Arabia,364929
Guinea,14172
United_Kingdom,3395959
Canada,715072
Falkland_Islands_(Malvinas),32
Seychelles,705
Kyrgyzstan,83178
Uzbekistan,78036
Mozambique,26551
Belize,11508
Brazil,8511770
Western_Sahara,766
Gambia,3910
Kenya,99162
Lebanon,252812
Slovenia,149434
Antigua_and_Barbuda,189
Botswana,17365
Japan,328294
British_Virgin_Islands,121
North_Macedonia,88938
Luxembourg,48852
Sint_Maarten,1656
Greenland,30
Haiti,10907
Poland,1438914
Portugal,556503
Australia,28708
Cameroon,28010
El_Salvador,51437
Romania,695153
Bulgaria,211813
Austria,391113
Dominican_Republic,194966
French_Polynesia,17635
Nepal,267322
Egypt,156397
Kazakhstan,216964
Serbia,372533
Solomon_Islands,17
Bermuda,683
Bahrain,97607
Colombia,1923132
Hungary,352703
Pakistan,521211
Vanuatu,1
Mauritius,547
Costa_Rica,186016
Moldova,152854
Vietnam,1539
Mali,7839
Netherlands,916186
